Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD DISTRITAL DE LURIN,84617781,106566077,103844457,99125381,98636540,98063634,98022585,92.0,2023,92.0,LURIN,8502443
MUNICIPALIDAD DISTRITAL DE LURIN,100507163,106357854,104916069,103614808,103572556,97613628,97613628,91.8,2024,91.8,LURIN,8744226
MUNICIPALIDAD DISTRITAL DE SANTA ANITA,82094843,105860524,103219967,100747506,99901010,98993189,98991890,93.5,2025,93.5,SANTA ANITA,6867335
MUNICIPALIDAD DISTRITAL DE EL AGUSTINO,83249393,105791985,81116324,67970024,59535019,44023328,43289136,41.6,2026,41.6,EL AGUSTINO,61768657
MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR,83675891,103583981,91392425,77493276,63626971,46979962,38565267,45.4,2026,45.4,MAGDALENA DEL MAR,56604019
MUNICIPALIDAD DISTRITAL DE JESUS MARIA,81901802,101547782,98648217,96841652,95930194,95165036,95149226,93.7,2023,93.7,JESUS MARIA,6382746
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,92779540,100435629,83765132,70289270,67356121,52478944,46804190,52.3,2026,52.3,INDEPENDENCIA,47956685
MUNICIPALIDAD DISTRITAL DE SANTA ANITA,79111636,99053343,86394342,85961525,85556109,85556109,85554861,86.4,2024,86.4,SANTA ANITA,13497234
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,82213515,97755744,93371573,91511618,90308787,86850411,86838065,88.8,2024,88.8,INDEPENDENCIA,10905333
MUNICIPALIDAD DISTRITAL DE EL AGUSTINO,71508980,96924763,94267269,84094832,83791861,71915731,71911759,74.2,2024,74.2,EL AGUSTINO,25009032
MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR,79837269,96049122,89868366,86987675,86584745,86582825,86582825,90.1,2025,90.1,MAGDALENA DEL MAR,9466297
