Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD DISTRITAL DE SAN LUIS,36255827,45286979,45111232,44655148,44554442,42622189,42622189,94.1,2025,94.1,SAN LUIS,2664790
MUNICIPALIDAD DISTRITAL DE ANCON,36699293,45281607,40343961,27751275,21846790,18253800,17456166,40.3,2026,40.3,ANCON,27027807
MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA,20727919,44156130,26663398,26183247,24470641,24432665,24431264,55.3,2023,55.3,PUNTA HERMOSA,19723465
MUNICIPALIDAD DISTRITAL DE ANCON,28549941,43182442,42085547,39866262,39206506,37994510,37993710,88.0,2025,88.0,ANCON,5187932
MUNICIPALIDAD DISTRITAL DE BREÑA,36582201,42937876,39106866,35240132,34611157,34497762,34476197,80.3,2023,80.3,BREÑA,8440114
MUNICIPALIDAD DISTRITAL DE CIENEGUILLA,33174959,39147161,35629352,32197716,32196566,29860983,29860983,76.3,2024,76.3,CIENEGUILLA,9286178
MUNICIPALIDAD DISTRITAL DE SAN LUIS,36685228,38234946,34852906,32392158,24872373,19484945,18862163,51.0,2026,51.0,SAN LUIS,18750001
MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA,27468587,36961682,29399141,28584177,28534506,28516693,28516693,77.2,2025,77.2,PUNTA HERMOSA,8444989
MUNICIPALIDAD DISTRITAL DE SAN LUIS,31516896,36748736,35638212,35012012,34796038,30085304,30032330,81.9,2023,81.9,SAN LUIS,6663432
MUNICIPALIDAD DISTRITAL DE SAN LUIS,32539647,34390032,33891824,32992555,30623219,30100676,30099815,87.5,2024,87.5,SAN LUIS,4289356
MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA,29537648,34096984,26418724,24618432,19497769,14628892,14522181,42.9,2026,42.9,PUNTA HERMOSA,19468092
MUNICIPALIDAD DISTRITAL DE CIENEGUILLA,28396528,34077917,27562944,26954684,26954684,26954412,26952779,79.1,2023,79.1,CIENEGUILLA,7123505
MUNICIPALIDAD DISTRITAL DE ANCON,27361595,32822644,31430350,30258420,30186768,29206895,29206895,89.0,2024,89.0,ANCON,3615749
MUNICIPALIDAD DISTRITAL DE CHACLACAYO,23483518,31512569,20321645,13804517,13439297,11686383,10816521,37.1,2026,37.1,CHACLACAYO,19826186
MUNICIPALIDAD DISTRITAL DE SANTA ROSA,24602769,31238907,29764016,28326482,26946955,26685024,26685024,85.4,2025,85.4,SANTA ROSA,4553883
